#
# AEG Box Test Suite by I. D. Flintoft, L. Dawson, J. F. Dawson and A. C. Marvin is 
# licensed under a Creative Commons Attribution 4.0 International License.
# Based on a work at https://bitbucket.org/uoyaeg/aegboxts.
#
# If you use or make derivatives of the test suite please attribute the original
# work to I. D. Flintoft, L. Dawson, J. F. Dawson and A. C. Marvin, Applied
# Electromagnetics Group, Department of Electronics, University of York, UK.
#
#       f(Hz)      Re(e11)      Im(e11) 
  5.08291e+09  3.36268e-11 -3.97687e-11
  5.12312e+09  3.36427e-11 -3.95252e-11
  5.16332e+09  3.36612e-11 -3.92816e-11
  5.20352e+09  3.36815e-11 -3.90393e-11
  5.24372e+09  3.37028e-11 -3.87999e-11
  5.28392e+09  3.37241e-11 -3.85649e-11
  5.32412e+09  3.37447e-11 -3.83359e-11
  5.36432e+09  3.37637e-11 -3.81144e-11
  5.40452e+09  3.37803e-11 -3.79019e-11
  5.44472e+09  3.37936e-11    -3.77e-11
  5.48492e+09  3.38028e-11 -3.75101e-11
  5.52513e+09   3.3807e-11  -3.7334e-11
  5.56533e+09  3.38055e-11  -3.7173e-11
  5.60553e+09  3.37978e-11 -3.70276e-11
  5.64573e+09  3.37844e-11  -3.6897e-11
  5.68593e+09  3.37656e-11   -3.678e-11
  5.72613e+09  3.37417e-11  -3.6676e-11
  5.76633e+09  3.37131e-11 -3.65837e-11
  5.80653e+09  3.36802e-11 -3.65024e-11
  5.84673e+09  3.36434e-11 -3.64311e-11
  5.88693e+09  3.36029e-11 -3.63687e-11
  5.92714e+09  3.35591e-11 -3.63144e-11
  5.96734e+09  3.35124e-11 -3.62673e-11
  6.00754e+09  3.34632e-11 -3.62262e-11
  6.04774e+09  3.34119e-11 -3.61904e-11
  6.08794e+09  3.33587e-11 -3.61589e-11
  6.12814e+09   3.3304e-11 -3.61306e-11
  6.16834e+09  3.32482e-11 -3.61047e-11
  6.20854e+09  3.31917e-11 -3.60803e-11
  6.24874e+09  3.31348e-11 -3.60562e-11
  6.28894e+09  3.30779e-11 -3.60317e-11
  6.32915e+09  3.30213e-11 -3.60057e-11
  6.36935e+09  3.29654e-11 -3.59773e-11
  6.40955e+09  3.29106e-11 -3.59458e-11
  6.44975e+09  3.28571e-11 -3.59111e-11
  6.48995e+09  3.28054e-11 -3.58735e-11
  6.53015e+09  3.27559e-11 -3.58332e-11
  6.57035e+09  3.27088e-11 -3.57903e-11
  6.61055e+09   3.2664e-11 -3.57451e-11
  6.65075e+09  3.26217e-11 -3.56977e-11
  6.69095e+09  3.25817e-11 -3.56484e-11
  6.73116e+09  3.25439e-11 -3.55974e-11
  6.77136e+09  3.25084e-11 -3.55448e-11
