#
# This work is licensed under the Creative Commons 
# Attribution-NoDerivatives 4.0 International License. 
# To view a copy of this license, visit 
# http://creativecommons.org/licenses/by-nd/4.0/.
#
#      f(MHz)    AF (dB/m) 
  1.27002e+09      52.5089
  1.27526e+09      52.4534
  1.28051e+09       52.407
  1.28576e+09      52.3616
  1.29101e+09      52.3082
  1.29625e+09      52.2444
   1.3015e+09      52.1895
  1.30675e+09        52.14
  1.31199e+09      52.0997
  1.31724e+09      52.0566
  1.32249e+09      52.0088
  1.32773e+09       51.961
  1.33298e+09      51.9143
  1.33823e+09      51.8678
  1.34347e+09      51.8212
  1.34872e+09      51.7692
  1.35397e+09      51.7163
  1.35921e+09      51.6689
  1.36446e+09      51.6213
  1.36971e+09      51.5752
  1.37495e+09      51.5292
   1.3802e+09      51.4749
  1.38545e+09      51.4174
  1.39069e+09       51.358
  1.39594e+09      51.3053
  1.40119e+09      51.2616
  1.40643e+09      51.2017
  1.41168e+09      51.1358
  1.41693e+09      51.0755
  1.42217e+09      51.0227
  1.42742e+09      50.9674
  1.43267e+09      50.9077
  1.43791e+09        50.86
  1.44316e+09      50.8228
  1.44841e+09      50.7776
  1.45365e+09      50.7196
   1.4589e+09      50.6749
  1.46415e+09      50.6332
  1.46939e+09       50.584
  1.47464e+09      50.5428
  1.47989e+09      50.5193
  1.48513e+09      50.5158
  1.49038e+09      50.5051
  1.49563e+09      50.4758
  1.50087e+09      50.4391
  1.50612e+09      50.4037
  1.51137e+09      50.3752
  1.51662e+09      50.3537
  1.52186e+09       50.347
  1.52711e+09      50.3372
  1.53236e+09       50.315
   1.5376e+09      50.2758
  1.54285e+09       50.226
   1.5481e+09      50.1854
  1.55334e+09      50.1498
  1.55859e+09      50.1237
  1.56384e+09      50.0995
  1.56908e+09      50.0705
  1.57433e+09      50.0214
  1.57958e+09      49.9593
  1.58482e+09      49.8956
  1.59007e+09      49.8341
  1.59532e+09      49.7845
  1.60056e+09      49.7458
  1.60581e+09      49.7247
  1.61106e+09      49.6985
   1.6163e+09      49.6515
  1.62155e+09      49.5945
   1.6268e+09      49.5423
  1.63204e+09      49.5022
  1.63729e+09      49.4721
  1.64254e+09      49.4577
  1.64778e+09      49.4479
  1.65303e+09      49.4276
  1.65828e+09      49.3859
  1.66352e+09      49.3321
  1.66877e+09      49.2856
  1.67402e+09      49.2477
  1.67926e+09      49.2237
  1.68451e+09      49.2061
  1.68976e+09      49.1824
    1.695e+09      49.1398
  1.70025e+09       49.083
   1.7055e+09      49.0135
  1.71074e+09      48.9449
  1.71599e+09      48.8882
  1.72124e+09       48.838
  1.72648e+09      48.8004
  1.73173e+09      48.7597
  1.73698e+09      48.7044
  1.74222e+09      48.6376
  1.74747e+09      48.5663
  1.75272e+09      48.4894
  1.75796e+09      48.4242
  1.76321e+09      48.3794
  1.76846e+09      48.3473
   1.7737e+09      48.3095
  1.77895e+09      48.2505
   1.7842e+09      48.1877
  1.78944e+09      48.1254
  1.79469e+09      48.0749
  1.79994e+09        48.03
  1.80518e+09      47.9971
  1.81043e+09      47.9662
  1.81568e+09      47.9282
  1.82092e+09      47.8769
  1.82617e+09      47.8332
  1.83142e+09      47.8003
  1.83666e+09        47.76
  1.84191e+09       47.721
  1.84716e+09      47.6805
   1.8524e+09      47.6486
  1.85765e+09      47.6166
   1.8629e+09      47.5811
  1.86814e+09      47.5433
  1.87339e+09      47.5014
  1.87864e+09      47.4595
  1.88388e+09      47.4228
  1.88913e+09      47.3953
  1.89438e+09      47.3722
  1.89962e+09      47.3457
  1.90487e+09      47.3059
  1.91012e+09      47.2627
  1.91536e+09      47.2187
  1.92061e+09      47.1817
  1.92586e+09      47.1601
  1.93111e+09      47.1352
  1.93635e+09       47.099
   1.9416e+09      47.0592
  1.94685e+09      47.0216
  1.95209e+09      46.9902
  1.95734e+09      46.9615
  1.96259e+09      46.9308
  1.96783e+09      46.9045
  1.97308e+09      46.8671
  1.97833e+09      46.8225
  1.98357e+09      46.7825
  1.98882e+09      46.7575
  1.99407e+09       46.727
  1.99931e+09      46.6824
  2.00456e+09      46.6385
  2.00981e+09      46.6081
  2.01505e+09      46.5758
   2.0203e+09      46.5371
  2.02555e+09      46.4997
  2.03079e+09       46.465
  2.03604e+09       46.437
  2.04129e+09       46.399
  2.04653e+09      46.3644
  2.05178e+09      46.3308
  2.05703e+09      46.2965
  2.06227e+09      46.2573
  2.06752e+09      46.2301
  2.07277e+09      46.2205
  2.07801e+09      46.2182
  2.08326e+09      46.2091
  2.08851e+09      46.1824
  2.09375e+09      46.1508
    2.099e+09      46.1218
  2.10425e+09      46.1098
  2.10949e+09      46.1091
  2.11474e+09      46.1111
  2.11999e+09      46.1081
  2.12523e+09      46.0899
  2.13048e+09      46.0627
