#
# This work is licensed under the Creative Commons 
# Attribution-NoDerivatives 4.0 International License. 
# To view a copy of this license, visit 
# http://creativecommons.org/licenses/by-nd/4.0/.
#
#      f(MHz)    AF (dB/m) 
  5.27327e+09      49.5033
  5.27851e+09      49.5204
  5.28376e+09      49.5355
  5.28901e+09      49.5464
  5.29425e+09      49.5541
   5.2995e+09       49.562
  5.30475e+09      49.5718
  5.30999e+09      49.5846
  5.31524e+09      49.6021
  5.32049e+09      49.6225
  5.32573e+09      49.6392
  5.33098e+09      49.6532
  5.33623e+09      49.6663
  5.34147e+09      49.6799
  5.34672e+09       49.699
  5.35197e+09        49.72
  5.35721e+09      49.7414
  5.36246e+09      49.7626
  5.36771e+09      49.7833
  5.37295e+09      49.8023
   5.3782e+09      49.8243
  5.38345e+09      49.8479
   5.3887e+09      49.8731
  5.39394e+09      49.8998
  5.39919e+09       49.923
  5.40444e+09      49.9447
  5.40968e+09      49.9668
  5.41493e+09      49.9893
  5.42018e+09      50.0119
  5.42542e+09      50.0348
  5.43067e+09      50.0554
  5.43592e+09      50.0743
  5.44116e+09      50.0916
  5.44641e+09      50.1063
  5.45166e+09      50.1226
   5.4569e+09      50.1391
  5.46215e+09      50.1513
   5.4674e+09      50.1612
  5.47264e+09      50.1672
  5.47789e+09      50.1728
  5.48314e+09      50.1814
  5.48838e+09      50.1914
  5.49363e+09      50.2002
  5.49888e+09      50.2057
  5.50412e+09      50.2076
  5.50937e+09      50.2063
  5.51462e+09      50.2063
  5.51986e+09      50.2107
  5.52511e+09      50.2179
  5.53036e+09      50.2232
   5.5356e+09      50.2255
  5.54085e+09      50.2254
   5.5461e+09      50.2238
  5.55134e+09      50.2266
  5.55659e+09      50.2334
  5.56184e+09      50.2429
  5.56708e+09      50.2521
  5.57233e+09      50.2544
  5.57758e+09      50.2543
  5.58282e+09      50.2551
  5.58807e+09       50.258
  5.59332e+09      50.2633
  5.59856e+09      50.2693
  5.60381e+09      50.2754
  5.60906e+09      50.2777
   5.6143e+09      50.2764
  5.61955e+09      50.2748
   5.6248e+09      50.2768
  5.63004e+09      50.2814
  5.63529e+09      50.2852
  5.64054e+09      50.2866
  5.64578e+09       50.285
  5.65103e+09      50.2822
  5.65628e+09      50.2759
  5.66152e+09      50.2731
  5.66677e+09      50.2757
  5.67202e+09      50.2791
  5.67726e+09      50.2808
  5.68251e+09       50.279
  5.68776e+09      50.2768
    5.693e+09       50.276
  5.69825e+09      50.2797
   5.7035e+09      50.2869
  5.70874e+09      50.2964
  5.71399e+09      50.3004
  5.71924e+09      50.2995
  5.72448e+09      50.2994
  5.72973e+09      50.3054
  5.73498e+09      50.3165
  5.74022e+09      50.3303
  5.74547e+09      50.3444
  5.75072e+09      50.3558
  5.75596e+09      50.3647
  5.76121e+09      50.3745
  5.76646e+09      50.3877
   5.7717e+09      50.4032
  5.77695e+09      50.4207
   5.7822e+09      50.4382
  5.78744e+09       50.454
  5.79269e+09      50.4698
  5.79794e+09      50.4865
  5.80319e+09      50.5052
  5.80843e+09      50.5242
  5.81368e+09      50.5391
  5.81893e+09      50.5525
  5.82417e+09      50.5674
  5.82942e+09      50.5836
  5.83467e+09         50.6
  5.83991e+09      50.6175
  5.84516e+09      50.6321
  5.85041e+09      50.6429
  5.85565e+09      50.6486
   5.8609e+09      50.6512
  5.86615e+09      50.6581
  5.87139e+09      50.6722
  5.87664e+09      50.6902
  5.88189e+09      50.7035
  5.88713e+09      50.7098
  5.89238e+09      50.7086
  5.89763e+09      50.7052
  5.90287e+09      50.7053
  5.90812e+09      50.7098
  5.91337e+09      50.7211
  5.91861e+09      50.7332
  5.92386e+09      50.7388
  5.92911e+09      50.7377
  5.93435e+09      50.7358
   5.9396e+09      50.7342
  5.94485e+09      50.7354
  5.95009e+09      50.7418
  5.95534e+09      50.7514
  5.96059e+09      50.7635
  5.96583e+09      50.7723
  5.97108e+09      50.7767
  5.97633e+09      50.7781
  5.98157e+09       50.778
  5.98682e+09      50.7796
  5.99207e+09      50.7879
  5.99731e+09      50.8022
  6.00256e+09      50.8165
  6.00781e+09      50.8258
  6.01305e+09      50.8266
   6.0183e+09      50.8246
  6.02355e+09      50.8222
   6.0288e+09      50.8223
  6.03404e+09      50.8255
  6.03929e+09      50.8333
  6.04454e+09      50.8406
  6.04978e+09      50.8445
  6.05503e+09      50.8439
  6.06028e+09       50.839
  6.06552e+09      50.8349
  6.07077e+09      50.8328
  6.07602e+09      50.8344
  6.08126e+09      50.8406
  6.08651e+09      50.8493
  6.09176e+09       50.854
    6.097e+09      50.8542
  6.10225e+09      50.8535
   6.1075e+09       50.854
  6.11274e+09      50.8575
  6.11799e+09      50.8662
  6.12324e+09      50.8777
  6.12848e+09      50.8897
  6.13373e+09      50.8986
  6.13898e+09      50.9059
  6.14422e+09      50.9143
  6.14947e+09      50.9241
  6.15472e+09      50.9334
  6.15996e+09      50.9431
  6.16521e+09      50.9564
  6.17046e+09      50.9712
   6.1757e+09      50.9848
  6.18095e+09      50.9971
   6.1862e+09      51.0076
  6.19144e+09      51.0157
  6.19669e+09      51.0212
  6.20194e+09      51.0278
  6.20718e+09      51.0359
  6.21243e+09      51.0429
  6.21768e+09      51.0487
  6.22292e+09        51.05
  6.22817e+09      51.0489
  6.23342e+09      51.0462
  6.23866e+09      51.0438
  6.24391e+09      51.0426
  6.24916e+09      51.0427
   6.2544e+09      51.0394
  6.25965e+09      51.0353
   6.2649e+09      51.0317
  6.27014e+09       51.024
  6.27539e+09      51.0174
  6.28064e+09      51.0127
  6.28588e+09      51.0106
  6.29113e+09      51.0085
  6.29638e+09      51.0074
  6.30162e+09      51.0052
  6.30687e+09      51.0052
  6.31212e+09      51.0047
  6.31736e+09      51.0042
  6.32261e+09      51.0065
  6.32786e+09      51.0092
   6.3331e+09      51.0113
  6.33835e+09      51.0147
   6.3436e+09      51.0213
  6.34884e+09      51.0275
  6.35409e+09      51.0346
  6.35934e+09      51.0402
  6.36458e+09      51.0444
  6.36983e+09      51.0503
  6.37508e+09      51.0583
  6.38032e+09      51.0693
  6.38557e+09      51.0807
  6.39082e+09      51.0886
  6.39606e+09      51.0923
  6.40131e+09      51.0946
  6.40656e+09      51.0992
   6.4118e+09      51.1069
  6.41705e+09      51.1175
   6.4223e+09      51.1257
  6.42754e+09      51.1314
  6.43279e+09      51.1343
  6.43804e+09      51.1375
  6.44328e+09      51.1429
  6.44853e+09      51.1527
  6.45378e+09      51.1636
  6.45903e+09      51.1725
  6.46427e+09      51.1794
  6.46952e+09      51.1863
  6.47477e+09       51.195
  6.48001e+09      51.2042
  6.48526e+09      51.2157
  6.49051e+09      51.2288
  6.49575e+09      51.2403
    6.501e+09      51.2499
  6.50625e+09      51.2579
  6.51149e+09       51.267
  6.51674e+09       51.279
  6.52199e+09      51.2924
  6.52723e+09      51.3065
  6.53248e+09      51.3224
  6.53773e+09      51.3348
  6.54297e+09      51.3452
  6.54822e+09      51.3558
  6.55347e+09      51.3657
  6.55871e+09      51.3784
  6.56396e+09      51.3906
  6.56921e+09       51.402
  6.57445e+09      51.4121
   6.5797e+09      51.4198
  6.58495e+09      51.4255
  6.59019e+09      51.4301
  6.59544e+09      51.4334
  6.60069e+09      51.4377
  6.60593e+09      51.4435
  6.61118e+09      51.4484
  6.61643e+09      51.4503
  6.62167e+09      51.4488
  6.62692e+09      51.4433
  6.63217e+09      51.4392
  6.63741e+09      51.4363
  6.64266e+09      51.4363
  6.64791e+09      51.4381
  6.65315e+09      51.4383
   6.6584e+09      51.4342
  6.66365e+09      51.4277
  6.66889e+09      51.4234
  6.67414e+09       51.422
  6.67939e+09      51.4239
  6.68464e+09      51.4275
  6.68988e+09      51.4287
  6.69513e+09      51.4291
  6.70038e+09      51.4286
  6.70562e+09      51.4297
  6.71087e+09      51.4333
  6.71612e+09      51.4414
  6.72136e+09      51.4475
  6.72661e+09       51.455
  6.73186e+09      51.4634
   6.7371e+09      51.4703
  6.74235e+09       51.477
   6.7476e+09      51.4825
  6.75284e+09      51.4896
  6.75809e+09      51.4976
  6.76334e+09       51.509
  6.76858e+09       51.516
  6.77383e+09      51.5249
  6.77908e+09      51.5322
  6.78432e+09      51.5384
  6.78957e+09      51.5435
  6.79482e+09      51.5494
  6.80006e+09      51.5566
  6.80531e+09      51.5612
  6.81056e+09      51.5641
   6.8158e+09      51.5644
  6.82105e+09      51.5677
   6.8263e+09       51.568
  6.83154e+09      51.5669
  6.83679e+09      51.5652
  6.84204e+09      51.5646
  6.84728e+09      51.5659
  6.85253e+09      51.5674
  6.85778e+09      51.5689
  6.86302e+09      51.5703
  6.86827e+09      51.5695
  6.87352e+09      51.5652
  6.87876e+09      51.5639
  6.88401e+09      51.5631
  6.88926e+09      51.5638
   6.8945e+09      51.5676
  6.89975e+09      51.5708
    6.905e+09      51.5737
  6.91024e+09      51.5739
  6.91549e+09      51.5739
  6.92074e+09      51.5755
  6.92598e+09      51.5815
  6.93123e+09      51.5896
  6.93648e+09      51.6004
  6.94172e+09      51.6091
  6.94697e+09      51.6138
  6.95222e+09      51.6138
  6.95746e+09      51.6107
  6.96271e+09      51.6114
  6.96796e+09      51.6139
   6.9732e+09      51.6205
  6.97845e+09      51.6241
   6.9837e+09      51.6242
  6.98894e+09      51.6198
  6.99419e+09      51.6163
  6.99944e+09      51.6111
  7.00468e+09      51.6082
  7.00993e+09      51.6078
  7.01518e+09      51.6089
  7.02042e+09      51.6099
  7.02567e+09       51.608
  7.03092e+09      51.6065
  7.03616e+09      51.6047
  7.04141e+09       51.605
  7.04666e+09       51.605
   7.0519e+09      51.6079
  7.05715e+09      51.6134
   7.0624e+09      51.6204
  7.06764e+09      51.6285
  7.07289e+09      51.6375
  7.07814e+09      51.6458
  7.08338e+09      51.6524
  7.08863e+09      51.6616
  7.09388e+09      51.6703
  7.09913e+09      51.6804
  7.10437e+09      51.6919
  7.10962e+09      51.7063
  7.11487e+09      51.7205
  7.12011e+09      51.7353
  7.12536e+09      51.7484
  7.13061e+09      51.7615
  7.13585e+09      51.7762
   7.1411e+09      51.7902
  7.14635e+09      51.8055
  7.15159e+09      51.8203
  7.15684e+09      51.8333
  7.16209e+09      51.8427
  7.16733e+09      51.8525
  7.17258e+09      51.8586
  7.17783e+09      51.8642
  7.18307e+09      51.8694
  7.18832e+09      51.8734
  7.19357e+09       51.876
  7.19881e+09        51.88
  7.20406e+09      51.8835
  7.20931e+09       51.886
  7.21455e+09      51.8865
   7.2198e+09      51.8843
  7.22505e+09      51.8812
  7.23029e+09      51.8763
  7.23554e+09      51.8731
  7.24079e+09      51.8748
  7.24603e+09      51.8794
  7.25128e+09      51.8796
  7.25653e+09      51.8788
  7.26177e+09      51.8767
  7.26702e+09      51.8732
  7.27227e+09      51.8708
  7.27751e+09      51.8694
  7.28276e+09      51.8708
  7.28801e+09      51.8749
  7.29325e+09      51.8742
   7.2985e+09      51.8704
  7.30375e+09      51.8666
  7.30899e+09      51.8643
  7.31424e+09      51.8629
  7.31949e+09      51.8648
  7.32474e+09      51.8684
  7.32998e+09      51.8719
  7.33523e+09       51.872
  7.34048e+09      51.8653
  7.34572e+09      51.8549
  7.35097e+09      51.8469
  7.35622e+09      51.8437
  7.36146e+09      51.8436
  7.36671e+09      51.8444
  7.37196e+09      51.8423
   7.3772e+09      51.8352
  7.38245e+09      51.8261
   7.3877e+09      51.8189
  7.39294e+09      51.8151
  7.39819e+09       51.819
  7.40344e+09      51.8208
  7.40868e+09      51.8184
  7.41393e+09      51.8087
  7.41918e+09      51.8001
  7.42442e+09       51.794
  7.42967e+09      51.7924
  7.43492e+09       51.794
  7.44016e+09      51.7963
  7.44541e+09      51.7996
  7.45066e+09      51.7989
   7.4559e+09      51.8007
  7.46115e+09       51.804
   7.4664e+09      51.8087
  7.47164e+09      51.8145
  7.47689e+09       51.819
  7.48214e+09      51.8214
  7.48738e+09      51.8259
  7.49263e+09      51.8333
  7.49788e+09      51.8407
  7.50312e+09      51.8513
  7.50837e+09      51.8654
  7.51362e+09      51.8772
  7.51886e+09      51.8868
  7.52411e+09      51.8933
  7.52936e+09      51.9027
   7.5346e+09      51.9179
  7.53985e+09       51.935
   7.5451e+09      51.9497
  7.55034e+09      51.9631
  7.55559e+09      51.9717
  7.56084e+09      51.9733
  7.56608e+09      51.9787
  7.57133e+09      51.9938
  7.57658e+09      52.0124
  7.58182e+09      52.0292
  7.58707e+09      52.0416
  7.59232e+09      52.0467
  7.59756e+09      52.0516
  7.60281e+09      52.0556
  7.60806e+09      52.0643
   7.6133e+09      52.0736
  7.61855e+09      52.0831
   7.6238e+09      52.0876
  7.62904e+09      52.0898
  7.63429e+09      52.0931
  7.63954e+09      52.0969
  7.64478e+09      52.1007
  7.65003e+09      52.1036
  7.65528e+09      52.1059
  7.66052e+09        52.11
  7.66577e+09      52.1197
  7.67102e+09      52.1283
  7.67626e+09      52.1396
  7.68151e+09      52.1477
  7.68676e+09      52.1498
    7.692e+09      52.1487
  7.69725e+09      52.1518
   7.7025e+09      52.1578
  7.70774e+09      52.1706
  7.71299e+09      52.1817
  7.71824e+09      52.1854
  7.72348e+09      52.1873
  7.72873e+09      52.1817
  7.73398e+09      52.1765
  7.73922e+09        52.18
  7.74447e+09      52.1907
  7.74972e+09      52.2022
  7.75497e+09      52.2085
  7.76021e+09      52.2063
  7.76546e+09      52.1991
  7.77071e+09      52.1931
  7.77595e+09      52.1845
   7.7812e+09      52.1832
  7.78645e+09       52.184
  7.79169e+09      52.1842
  7.79694e+09      52.1812
  7.80219e+09       52.178
  7.80743e+09       52.175
  7.81268e+09       52.174
  7.81793e+09      52.1766
  7.82317e+09      52.1807
  7.82842e+09      52.1872
  7.83367e+09      52.1888
  7.83891e+09      52.1945
  7.84416e+09      52.2005
  7.84941e+09      52.2056
  7.85465e+09      52.2102
   7.8599e+09      52.2185
  7.86515e+09      52.2275
  7.87039e+09      52.2357
  7.87564e+09      52.2493
  7.88089e+09      52.2678
  7.88613e+09      52.2885
  7.89138e+09      52.3061
  7.89663e+09      52.3148
  7.90187e+09      52.3215
  7.90712e+09        52.33
  7.91237e+09      52.3401
  7.91761e+09       52.353
  7.92286e+09      52.3745
  7.92811e+09      52.3965
  7.93335e+09      52.4148
   7.9386e+09      52.4249
  7.94385e+09      52.4338
  7.94909e+09      52.4507
  7.95434e+09      52.4713
  7.95959e+09       52.491
  7.96483e+09      52.5094
  7.97008e+09       52.526
  7.97533e+09      52.5345
  7.98058e+09      52.5379
  7.98582e+09      52.5408
  7.99107e+09      52.5482
  7.99632e+09      52.5609
  8.00156e+09      52.5711
  8.00681e+09      52.5804
  8.01206e+09      52.5843
   8.0173e+09      52.5841
  8.02255e+09      52.5813
   8.0278e+09      52.5818
  8.03304e+09      52.5842
  8.03829e+09      52.5855
  8.04354e+09      52.5885
  8.04878e+09      52.5826
  8.05403e+09      52.5797
  8.05928e+09      52.5729
  8.06452e+09      52.5694
  8.06977e+09       52.576
  8.07502e+09      52.5929
  8.08026e+09      52.5999
  8.08551e+09      52.5966
  8.09076e+09      52.5942
    8.096e+09      52.5894
  8.10125e+09      52.5864
   8.1065e+09      52.5832
  8.11174e+09      52.5891
  8.11699e+09      52.6011
  8.12224e+09      52.6087
  8.12748e+09       52.608
  8.13273e+09      52.6155
  8.13798e+09      52.6252
  8.14322e+09      52.6254
  8.14847e+09      52.6204
  8.15372e+09      52.6198
  8.15896e+09      52.6239
  8.16421e+09      52.6289
  8.16946e+09      52.6363
   8.1747e+09      52.6453
  8.17995e+09      52.6503
   8.1852e+09      52.6455
  8.19044e+09      52.6386
  8.19569e+09      52.6412
  8.20094e+09      52.6595
  8.20618e+09      52.6835
  8.21143e+09      52.7032
  8.21668e+09      52.7182
  8.22192e+09      52.7255
  8.22717e+09      52.7267
  8.23242e+09      52.7307
  8.23766e+09      52.7439
  8.24291e+09      52.7753
  8.24816e+09      52.8143
   8.2534e+09      52.8527
  8.25865e+09      52.8932
   8.2639e+09      52.9264
  8.26914e+09      52.9496
  8.27439e+09      52.9677
  8.27964e+09      52.9868
  8.28488e+09      53.0132
  8.29013e+09      53.0483
  8.29538e+09      53.0863
  8.30062e+09       53.135
  8.30587e+09      53.1825
  8.31112e+09      53.2115
  8.31636e+09      53.2359
  8.32161e+09      53.2591
  8.32686e+09      53.2812
   8.3321e+09      53.3096
  8.33735e+09      53.3423
   8.3426e+09      53.3812
  8.34784e+09      53.4213
  8.35309e+09      53.4345
  8.35834e+09      53.4324
  8.36358e+09      53.4324
  8.36883e+09       53.435
  8.37408e+09      53.4499
  8.37932e+09      53.4788
  8.38457e+09      53.5094
  8.38982e+09      53.5318
  8.39507e+09      53.5441
  8.40031e+09      53.5347
  8.40556e+09      53.5236
  8.41081e+09      53.5113
  8.41605e+09      53.5048
   8.4213e+09      53.5111
  8.42655e+09      53.5293
  8.43179e+09      53.5531
  8.43704e+09      53.5683
  8.44229e+09      53.5753
  8.44753e+09      53.5747
  8.45278e+09      53.5768
  8.45803e+09        53.58
  8.46327e+09      53.5933
  8.46852e+09      53.6126
  8.47377e+09      53.6351
  8.47901e+09      53.6493
  8.48426e+09      53.6504
  8.48951e+09      53.6584
  8.49475e+09      53.6823
