#
# AEG Box Test Suite by I. D. Flintoft, L. Dawson, J. F. Dawson and A. C. Marvin is 
# licensed under a Creative Commons Attribution 4.0 International License.
# Based on a work at https://bitbucket.org/uoyaeg/aegboxts.
#
# If you use or make derivatives of the test suite please attribute the original
# work to I. D. Flintoft, L. Dawson, J. F. Dawson and A. C. Marvin, Applied
# Electromagnetics Group, Department of Electronics, University of York, UK.
#
#    f (MHz)   A (dB m^2) 
  1.06344e+09     -79.0478
  1.06375e+09     -78.9825
  1.06406e+09     -78.7873
  1.06438e+09     -78.7266
  1.06469e+09     -78.3995
    1.065e+09     -78.5304
  1.06531e+09     -78.5247
  1.06562e+09     -78.3744
  1.06594e+09     -78.1396
  1.06625e+09      -78.098
  1.06656e+09      -77.731
  1.06688e+09     -77.7815
  1.06719e+09     -77.7709
   1.0675e+09     -77.2577
  1.06781e+09     -77.9514
  1.06812e+09     -77.2687
  1.06844e+09      -77.016
  1.06875e+09     -76.8078
  1.06906e+09     -76.6787
  1.06938e+09     -76.5696
  1.06969e+09     -76.0486
     1.07e+09     -75.8281
  1.07031e+09     -75.3989
  1.07062e+09     -75.1881
  1.07094e+09     -75.1889
  1.07125e+09     -75.4189
  1.07156e+09     -75.3328
  1.07188e+09     -75.5873
  1.07219e+09     -76.4093
   1.0725e+09     -77.4251
  1.07281e+09     -78.4621
  1.07312e+09     -80.0906
  1.07344e+09     -81.4693
  1.07375e+09     -82.9939
  1.07406e+09     -84.6114
  1.07438e+09     -85.5061
  1.07469e+09     -87.5192
    1.075e+09      -88.584
  1.07531e+09     -89.6454
  1.07562e+09     -92.4018
  1.07594e+09     -91.6721
  1.07625e+09     -94.6346
  1.07656e+09     -97.1082
  1.07688e+09     -95.2958
  1.07719e+09     -98.0107
   1.0775e+09     -97.8822
  1.07781e+09      -99.314
  1.07812e+09     -101.418
  1.07844e+09     -99.0198
  1.07875e+09     -107.603
  1.07906e+09     -102.182
  1.07938e+09     -99.3058
  1.07969e+09     -99.3993
     1.08e+09     -99.7486
  1.08031e+09     -99.5392
  1.08062e+09      -101.02
  1.08094e+09     -99.4909
  1.08125e+09     -96.9912
  1.08156e+09     -101.727
  1.08188e+09     -95.0621
  1.08219e+09     -100.438
   1.0825e+09     -97.1349
  1.08281e+09     -96.2259
  1.08312e+09     -97.5153
  1.08344e+09     -96.5891
  1.08375e+09       -96.84
  1.08406e+09     -95.0955
  1.08438e+09      -96.158
  1.08469e+09     -100.017
    1.085e+09      -100.47
  1.08531e+09     -96.1143
  1.08562e+09     -93.8132
  1.08594e+09     -97.5637
  1.08625e+09     -97.5956
  1.08656e+09     -101.572
  1.08688e+09       -101.1
  1.08719e+09     -95.0957
   1.0875e+09     -100.706
  1.08781e+09     -98.0599
  1.08812e+09     -95.6795
  1.08844e+09     -104.774
  1.08875e+09     -96.6247
  1.08906e+09     -97.6029
  1.08938e+09     -95.8518
  1.08969e+09     -98.8814
     1.09e+09     -96.9626
  1.09031e+09     -96.8933
  1.09062e+09     -95.2877
  1.09094e+09     -98.3837
  1.09125e+09     -97.3837
  1.09156e+09      -96.568
  1.09188e+09     -97.6231
  1.09219e+09     -96.6896
   1.0925e+09     -93.4338
  1.09281e+09     -95.2899
  1.09312e+09     -92.6877
  1.09344e+09     -94.7878
  1.09375e+09     -95.6706
  1.09406e+09      -93.518
  1.09438e+09     -93.6244
  1.09469e+09     -93.5272
