#
# AEG Box Test Suite by I. D. Flintoft, L. Dawson, J. F. Dawson and A. C. Marvin is 
# licensed under a Creative Commons Attribution 4.0 International License.
# Based on a work at https://bitbucket.org/uoyaeg/aegboxts.
#
# If you use or make derivatives of the test suite please attribute the original
# work to I. D. Flintoft, L. Dawson, J. F. Dawson and A. C. Marvin, Applied
# Electromagnetics Group, Department of Electronics, University of York, UK.
#
#     f (MHz)   A (dB m^2) 
   1.0625e+09     -36.0001
  1.06281e+09     -35.6364
  1.06312e+09     -35.3416
  1.06344e+09     -35.0382
  1.06375e+09     -34.7722
  1.06406e+09     -34.5291
  1.06438e+09      -34.323
  1.06469e+09     -34.1209
    1.065e+09     -33.9563
  1.06531e+09     -33.8026
  1.06562e+09     -33.6859
  1.06594e+09     -33.5786
  1.06625e+09     -33.4907
  1.06656e+09     -33.4227
  1.06688e+09     -33.3794
  1.06719e+09     -33.3267
   1.0675e+09     -33.3056
  1.06781e+09     -33.3047
  1.06812e+09     -33.2997
  1.06844e+09     -33.3162
  1.06875e+09     -33.3356
  1.06906e+09     -33.3792
  1.06938e+09     -33.4336
  1.06969e+09     -33.4837
     1.07e+09     -33.5646
  1.07031e+09     -33.6258
  1.07062e+09     -33.7172
  1.07094e+09     -33.8126
  1.07125e+09     -33.9355
  1.07156e+09     -34.0487
  1.07188e+09     -34.1691
  1.07219e+09     -34.3007
   1.0725e+09     -34.4491
  1.07281e+09     -34.5815
  1.07312e+09     -34.7404
  1.07344e+09     -34.8746
  1.07375e+09     -35.0395
  1.07406e+09     -35.1864
  1.07438e+09     -35.3395
  1.07469e+09     -35.4696
    1.075e+09     -35.6252
  1.07531e+09     -35.7643
  1.07562e+09     -35.8986
  1.07594e+09     -36.0116
  1.07625e+09     -36.1238
  1.07656e+09     -36.2255
  1.07688e+09     -36.3076
  1.07719e+09     -36.3771
   1.0775e+09     -36.4362
  1.07781e+09     -36.4608
  1.07812e+09     -36.4898
  1.07844e+09     -36.4947
  1.07875e+09     -36.4888
  1.07906e+09     -36.4675
  1.07938e+09     -36.4323
  1.07969e+09     -36.3631
     1.08e+09     -36.2755
  1.08031e+09     -36.2173
  1.08062e+09     -36.1136
  1.08094e+09     -36.0144
  1.08125e+09     -35.8864
  1.08156e+09     -35.7732
  1.08188e+09     -35.6407
  1.08219e+09     -35.5129
   1.0825e+09     -35.3721
  1.08281e+09      -35.236
  1.08312e+09     -35.0869
  1.08344e+09     -34.9433
  1.08375e+09     -34.8092
  1.08406e+09     -34.6573
  1.08438e+09     -34.5205
  1.08469e+09     -34.3871
    1.085e+09     -34.2516
  1.08531e+09     -34.1189
  1.08562e+09     -33.9884
  1.08594e+09     -33.8524
  1.08625e+09     -33.7361
  1.08656e+09     -33.6174
  1.08688e+09     -33.4925
  1.08719e+09     -33.3723
   1.0875e+09     -33.2611
  1.08781e+09     -33.1382
  1.08812e+09     -33.0385
  1.08844e+09     -32.9106
  1.08875e+09     -32.8017
  1.08906e+09     -32.6959
  1.08938e+09     -32.5843
  1.08969e+09       -32.48
     1.09e+09     -32.3743
  1.09031e+09     -32.2674
  1.09062e+09     -32.1668
  1.09094e+09     -32.0649
  1.09125e+09     -31.9504
  1.09156e+09     -31.8502
  1.09188e+09     -31.7503
  1.09219e+09     -31.6465
   1.0925e+09     -31.5495
  1.09281e+09     -31.4555
  1.09312e+09     -31.3543
  1.09344e+09     -31.2589
  1.09375e+09     -31.1734
  1.09406e+09     -31.0894
  1.09438e+09     -31.0053
  1.09469e+09     -30.9292
    1.095e+09     -30.8459
  1.09531e+09     -30.7809
  1.09562e+09     -30.7099
  1.09594e+09     -30.6417
  1.09625e+09     -30.5897
  1.09656e+09     -30.5319
  1.09688e+09     -30.4741
  1.09719e+09     -30.4311
   1.0975e+09     -30.3841
  1.09781e+09     -30.3389
  1.09812e+09     -30.3154
  1.09844e+09     -30.2806
  1.09875e+09     -30.2619
  1.09906e+09     -30.2335
  1.09938e+09     -30.2225
  1.09969e+09     -30.2038
      1.1e+09     -30.1921
  1.10031e+09     -30.1909
  1.10062e+09     -30.1827
  1.10094e+09     -30.1695
  1.10125e+09     -30.1643
  1.10156e+09     -30.1658
  1.10188e+09     -30.1667
  1.10219e+09     -30.1611
   1.1025e+09     -30.1587
  1.10281e+09     -30.1603
  1.10312e+09     -30.1551
  1.10344e+09     -30.1586
  1.10375e+09      -30.151
  1.10406e+09     -30.1445
  1.10438e+09     -30.1442
  1.10469e+09     -30.1356
    1.105e+09     -30.1253
  1.10531e+09     -30.1056
  1.10562e+09     -30.0949
  1.10594e+09      -30.079
  1.10625e+09     -30.0679
  1.10656e+09     -30.0494
  1.10688e+09     -30.0311
  1.10719e+09     -30.0082
   1.1075e+09      -29.987
  1.10781e+09     -29.9715
  1.10812e+09     -29.9552
  1.10844e+09     -29.9568
  1.10875e+09     -29.9373
  1.10906e+09      -29.926
  1.10938e+09     -29.9076
  1.10969e+09     -29.9096
     1.11e+09     -29.9043
  1.11031e+09     -29.9056
  1.11062e+09      -29.908
  1.11094e+09     -29.9101
  1.11125e+09     -29.9232
  1.11156e+09     -29.9233
  1.11188e+09     -29.9426
  1.11219e+09     -29.9656
   1.1125e+09     -29.9854
  1.11281e+09     -30.0002
  1.11312e+09     -30.0213
  1.11344e+09     -30.0433
  1.11375e+09     -30.0704
  1.11406e+09     -30.0875
  1.11438e+09     -30.1098
  1.11469e+09     -30.1346
    1.115e+09      -30.151
  1.11531e+09     -30.1645
  1.11562e+09     -30.1841
  1.11594e+09     -30.1919
  1.11625e+09     -30.2002
  1.11656e+09     -30.2033
  1.11688e+09     -30.2023
  1.11719e+09     -30.2029
   1.1175e+09     -30.1968
  1.11781e+09     -30.2011
  1.11812e+09     -30.1828
  1.11844e+09     -30.1781
  1.11875e+09     -30.1866
  1.11906e+09     -30.1771
  1.11938e+09     -30.1667
  1.11969e+09     -30.1872
     1.12e+09     -30.1966
  1.12031e+09     -30.2177
  1.12062e+09     -30.2568
  1.12094e+09     -30.3089
  1.12125e+09      -30.357
  1.12156e+09     -30.3994
  1.12188e+09     -30.4178
  1.12219e+09     -30.4297
   1.1225e+09     -30.4239
  1.12281e+09     -30.4213
  1.12312e+09     -30.4244
  1.12344e+09     -30.4341
  1.12375e+09     -30.4431
  1.12406e+09     -30.4583
  1.12438e+09     -30.4786
  1.12469e+09     -30.4988
    1.125e+09     -30.5249
  1.12531e+09     -30.5706
  1.12562e+09     -30.6029
  1.12594e+09     -30.6431
  1.12625e+09     -30.6828
  1.12656e+09      -30.728
  1.12688e+09     -30.7727
  1.12719e+09     -30.8095
   1.1275e+09     -30.8531
  1.12781e+09     -30.8879
  1.12812e+09     -30.9298
  1.12844e+09     -30.9589
  1.12875e+09     -30.9932
  1.12906e+09     -31.0197
  1.12938e+09     -31.0389
  1.12969e+09     -31.0607
     1.13e+09     -31.0852
  1.13031e+09      -31.104
  1.13062e+09     -31.1184
  1.13094e+09     -31.1296
  1.13125e+09     -31.1494
  1.13156e+09     -31.1619
  1.13188e+09     -31.1742
  1.13219e+09     -31.1898
   1.1325e+09     -31.1988
  1.13281e+09     -31.2119
  1.13312e+09      -31.236
  1.13344e+09     -31.2455
  1.13375e+09      -31.265
  1.13406e+09     -31.2835
  1.13438e+09     -31.3144
  1.13469e+09     -31.3382
    1.135e+09     -31.3791
  1.13531e+09     -31.4142
  1.13562e+09     -31.4599
  1.13594e+09     -31.5037
  1.13625e+09     -31.5595
  1.13656e+09     -31.6143
  1.13688e+09     -31.6706
  1.13719e+09     -31.7347
   1.1375e+09     -31.8005
  1.13781e+09      -31.876
  1.13812e+09     -31.9309
  1.13844e+09     -31.9923
  1.13875e+09     -32.0655
  1.13906e+09     -32.1297
  1.13938e+09     -32.1899
  1.13969e+09     -32.2615
     1.14e+09     -32.3022
  1.14031e+09     -32.3631
  1.14062e+09     -32.4046
  1.14094e+09     -32.4428
  1.14125e+09     -32.4804
  1.14156e+09     -32.4992
  1.14188e+09     -32.5202
  1.14219e+09     -32.5358
   1.1425e+09     -32.5572
  1.14281e+09     -32.5638
  1.14312e+09     -32.5547
  1.14344e+09     -32.5484
  1.14375e+09     -32.5331
  1.14406e+09     -32.5162
  1.14438e+09     -32.5102
  1.14469e+09     -32.4802
    1.145e+09     -32.4668
  1.14531e+09     -32.4445
  1.14562e+09     -32.4332
  1.14594e+09     -32.4059
  1.14625e+09     -32.4066
  1.14656e+09      -32.393
  1.14688e+09     -32.3992
  1.14719e+09     -32.3916
   1.1475e+09     -32.4068
  1.14781e+09     -32.4157
  1.14812e+09     -32.4279
  1.14844e+09     -32.4573
  1.14875e+09     -32.4686
  1.14906e+09     -32.4941
  1.14938e+09     -32.5249
  1.14969e+09     -32.5628
     1.15e+09     -32.5706
  1.15031e+09     -32.6034
  1.15062e+09     -32.6375
  1.15094e+09     -32.6564
  1.15125e+09     -32.6904
  1.15156e+09     -32.6902
  1.15188e+09     -32.7073
  1.15219e+09     -32.6997
   1.1525e+09     -32.6956
  1.15281e+09     -32.6716
  1.15312e+09     -32.6624
  1.15344e+09     -32.6113
  1.15375e+09     -32.5865
  1.15406e+09      -32.538
  1.15438e+09     -32.4816
  1.15469e+09     -32.4219
    1.155e+09     -32.3584
  1.15531e+09     -32.2896
  1.15562e+09      -32.214
  1.15594e+09     -32.1376
  1.15625e+09     -32.0684
  1.15656e+09     -31.9823
  1.15688e+09     -31.9084
