#
# AEG Box Test Suite by I. D. Flintoft, L. Dawson, J. F. Dawson and A. C. Marvin is 
# licensed under a Creative Commons Attribution 4.0 International License.
# Based on a work at https://bitbucket.org/uoyaeg/aegboxts.
#
# If you use or make derivatives of the test suite please attribute the original
# work to I. D. Flintoft, L. Dawson, J. F. Dawson and A. C. Marvin, Applied
# Electromagnetics Group, Department of Electronics, University of York, UK.
#
#     f (MHz)   A (dB m^2) 
  1.06281e+09     -23.5171
  1.06312e+09       -23.56
  1.06344e+09     -23.5984
  1.06375e+09     -23.6299
  1.06406e+09     -23.6509
  1.06438e+09     -23.6738
  1.06469e+09     -23.6777
    1.065e+09     -23.6898
  1.06531e+09     -23.6824
  1.06562e+09     -23.6749
  1.06594e+09     -23.6576
  1.06625e+09     -23.6332
  1.06656e+09     -23.6032
  1.06688e+09     -23.5621
  1.06719e+09     -23.5196
   1.0675e+09     -23.4664
  1.06781e+09     -23.4077
  1.06812e+09     -23.3477
  1.06844e+09     -23.2757
  1.06875e+09     -23.2025
  1.06906e+09      -23.122
  1.06938e+09     -23.0393
  1.06969e+09     -22.9486
     1.07e+09      -22.861
  1.07031e+09      -22.768
  1.07062e+09      -22.673
  1.07094e+09      -22.578
  1.07125e+09     -22.4818
  1.07156e+09     -22.3935
  1.07188e+09     -22.2984
  1.07219e+09     -22.2092
   1.0725e+09     -22.1264
  1.07281e+09     -22.0472
  1.07312e+09     -21.9713
  1.07344e+09     -21.9034
  1.07375e+09     -21.8414
  1.07406e+09     -21.7878
  1.07438e+09     -21.7394
  1.07469e+09     -21.7005
    1.075e+09     -21.6739
  1.07531e+09     -21.6515
  1.07562e+09     -21.6386
  1.07594e+09     -21.6289
  1.07625e+09     -21.6335
  1.07656e+09     -21.6364
  1.07688e+09     -21.6552
  1.07719e+09     -21.6698
   1.0775e+09     -21.6942
  1.07781e+09     -21.7204
  1.07812e+09     -21.7493
  1.07844e+09     -21.7783
  1.07875e+09     -21.8106
  1.07906e+09     -21.8438
  1.07938e+09     -21.8777
  1.07969e+09     -21.9069
     1.08e+09     -21.9398
  1.08031e+09     -21.9753
  1.08062e+09     -22.0059
  1.08094e+09     -22.0386
  1.08125e+09     -22.0662
  1.08156e+09     -22.0931
  1.08188e+09     -22.1096
  1.08219e+09     -22.1319
   1.0825e+09     -22.1508
  1.08281e+09     -22.1677
  1.08312e+09     -22.1815
  1.08344e+09     -22.1997
  1.08375e+09     -22.2138
  1.08406e+09     -22.2285
  1.08438e+09     -22.2441
  1.08469e+09     -22.2661
    1.085e+09     -22.2812
  1.08531e+09     -22.2955
  1.08562e+09     -22.3163
  1.08594e+09     -22.3329
  1.08625e+09     -22.3495
  1.08656e+09     -22.3719
  1.08688e+09     -22.3854
  1.08719e+09     -22.4106
   1.0875e+09     -22.4234
  1.08781e+09     -22.4398
  1.08812e+09     -22.4558
  1.08844e+09     -22.4694
  1.08875e+09     -22.4863
  1.08906e+09     -22.5026
  1.08938e+09     -22.5087
  1.08969e+09     -22.5189
     1.09e+09     -22.5235
  1.09031e+09     -22.5256
  1.09062e+09     -22.5237
  1.09094e+09     -22.5165
  1.09125e+09     -22.5014
  1.09156e+09     -22.4893
  1.09188e+09     -22.4678
  1.09219e+09     -22.4443
   1.0925e+09     -22.4215
  1.09281e+09     -22.3893
  1.09312e+09      -22.357
  1.09344e+09     -22.3189
  1.09375e+09     -22.2801
  1.09406e+09     -22.2372
  1.09438e+09     -22.1955
  1.09469e+09     -22.1495
    1.095e+09     -22.1034
  1.09531e+09     -22.0525
  1.09562e+09     -22.0016
  1.09594e+09     -21.9489
  1.09625e+09     -21.8948
  1.09656e+09     -21.8435
  1.09688e+09     -21.7906
  1.09719e+09     -21.7445
   1.0975e+09     -21.6931
  1.09781e+09     -21.6442
  1.09812e+09     -21.6041
  1.09844e+09     -21.5598
  1.09875e+09     -21.5212
  1.09906e+09     -21.4822
  1.09938e+09      -21.451
  1.09969e+09     -21.4195
      1.1e+09     -21.3888
  1.10031e+09     -21.3609
  1.10062e+09     -21.3362
  1.10094e+09     -21.3129
  1.10125e+09     -21.2916
  1.10156e+09      -21.274
  1.10188e+09     -21.2534
  1.10219e+09     -21.2406
   1.1025e+09     -21.2288
  1.10281e+09     -21.2118
  1.10312e+09     -21.1975
  1.10344e+09     -21.1825
  1.10375e+09     -21.1692
  1.10406e+09     -21.1559
  1.10438e+09     -21.1347
  1.10469e+09     -21.1182
    1.105e+09     -21.0978
  1.10531e+09     -21.0712
  1.10562e+09      -21.047
  1.10594e+09     -21.0176
  1.10625e+09     -20.9919
  1.10656e+09      -20.963
  1.10688e+09      -20.932
  1.10719e+09     -20.8994
   1.1075e+09     -20.8685
  1.10781e+09     -20.8329
  1.10812e+09     -20.7999
  1.10844e+09     -20.7676
  1.10875e+09     -20.7345
  1.10906e+09     -20.6994
  1.10938e+09     -20.6685
  1.10969e+09     -20.6408
     1.11e+09     -20.6177
  1.11031e+09     -20.5921
  1.11062e+09     -20.5727
  1.11094e+09     -20.5532
  1.11125e+09     -20.5361
  1.11156e+09     -20.5211
  1.11188e+09      -20.513
  1.11219e+09     -20.5057
   1.1125e+09     -20.5001
  1.11281e+09     -20.4992
  1.11312e+09     -20.4994
  1.11344e+09     -20.5044
  1.11375e+09     -20.5042
  1.11406e+09     -20.5072
  1.11438e+09     -20.5116
  1.11469e+09      -20.516
    1.115e+09     -20.5171
  1.11531e+09     -20.5175
  1.11562e+09     -20.5181
  1.11594e+09     -20.5141
  1.11625e+09     -20.5036
  1.11656e+09      -20.493
  1.11688e+09     -20.4774
  1.11719e+09     -20.4618
   1.1175e+09     -20.4406
  1.11781e+09     -20.4148
  1.11812e+09     -20.3802
  1.11844e+09       -20.35
  1.11875e+09     -20.3104
  1.11906e+09     -20.2692
  1.11938e+09     -20.2192
  1.11969e+09     -20.1625
     1.12e+09     -20.0943
  1.12031e+09     -20.0196
  1.12062e+09     -19.9296
  1.12094e+09     -19.8446
  1.12125e+09     -19.7753
  1.12156e+09      -19.733
  1.12188e+09     -19.7254
  1.12219e+09     -19.7518
   1.1225e+09     -19.7869
  1.12281e+09     -19.8213
  1.12312e+09     -19.8582
  1.12344e+09     -19.8905
  1.12375e+09     -19.9215
  1.12406e+09     -19.9503
  1.12438e+09     -19.9768
  1.12469e+09     -20.0022
    1.125e+09     -20.0312
  1.12531e+09     -20.0506
  1.12562e+09     -20.0753
  1.12594e+09     -20.0983
  1.12625e+09     -20.1181
  1.12656e+09     -20.1433
  1.12688e+09     -20.1653
  1.12719e+09     -20.1843
   1.1275e+09     -20.2051
  1.12781e+09     -20.2212
