#
# This work is licensed under the Creative Commons 
# Attribution-NoDerivatives 4.0 International License. 
# To view a copy of this license, visit 
# http://creativecommons.org/licenses/by-nd/4.0/.
#
#     f (MHz)   A (dB m^2) 
        1e+09     -102.311
  1.00031e+09     -103.333
  1.00062e+09     -98.2684
  1.00094e+09     -102.572
  1.00125e+09     -102.044
  1.00156e+09     -99.8966
  1.00188e+09     -100.872
  1.00219e+09     -99.4743
   1.0025e+09     -103.895
  1.00281e+09     -100.392
  1.00312e+09     -106.114
  1.00344e+09     -99.8797
  1.00375e+09     -103.108
  1.00406e+09     -99.8847
  1.00438e+09     -101.856
  1.00469e+09     -100.769
    1.005e+09      -99.995
  1.00531e+09      -104.62
  1.00562e+09     -99.7873
  1.00594e+09     -103.265
  1.00625e+09     -100.618
  1.00656e+09     -100.391
  1.00688e+09     -100.387
  1.00719e+09     -99.0629
   1.0075e+09      -101.66
  1.00781e+09      -102.31
  1.00812e+09     -103.849
  1.00844e+09     -100.629
  1.00875e+09     -100.419
  1.00906e+09     -98.3511
  1.00938e+09     -101.044
  1.00969e+09     -100.013
     1.01e+09     -96.4358
  1.01031e+09     -98.7272
  1.01062e+09     -101.468
  1.01094e+09     -97.0852
  1.01125e+09       -95.48
  1.01156e+09     -95.2628
  1.01188e+09     -98.1208
  1.01219e+09     -96.6485
   1.0125e+09     -95.1745
  1.01281e+09     -98.3153
  1.01312e+09     -94.5244
  1.01344e+09     -98.4387
  1.01375e+09     -97.2638
  1.01406e+09     -94.4814
  1.01438e+09     -96.9516
  1.01469e+09     -97.7504
    1.015e+09     -97.3759
  1.01531e+09     -94.3143
  1.01562e+09     -97.2138
  1.01594e+09     -95.5263
  1.01625e+09      -95.462
  1.01656e+09     -98.3426
  1.01688e+09      -99.553
  1.01719e+09     -98.5927
   1.0175e+09     -97.9001
  1.01781e+09     -97.4304
  1.01812e+09     -96.7647
  1.01844e+09     -94.5236
  1.01875e+09     -97.1088
  1.01906e+09     -96.5817
  1.01938e+09     -95.5436
  1.01969e+09     -95.0765
     1.02e+09     -95.0989
  1.02031e+09     -94.4485
  1.02062e+09     -94.4833
  1.02094e+09     -91.8476
  1.02125e+09     -92.7428
  1.02156e+09     -91.8455
  1.02188e+09     -93.3717
  1.02219e+09     -91.5815
   1.0225e+09     -95.2774
  1.02281e+09     -82.2137
  1.02312e+09     -83.9925
  1.02344e+09     -81.4765
  1.02375e+09     -77.9454
  1.02406e+09     -69.8673
  1.02438e+09     -72.3684
  1.02469e+09     -80.1378
    1.025e+09     -84.9372
  1.02531e+09     -87.9718
  1.02562e+09     -90.6006
  1.02594e+09     -91.2265
  1.02625e+09     -95.0299
  1.02656e+09     -95.5107
  1.02688e+09     -94.8037
  1.02719e+09     -92.3113
   1.0275e+09      -79.053
  1.02781e+09     -92.2101
  1.02812e+09     -98.9461
  1.02844e+09     -100.617
  1.02875e+09      -102.63
  1.02906e+09     -102.922
  1.02938e+09     -112.332
  1.02969e+09     -118.081
     1.03e+09     -101.857
  1.03031e+09     -108.705
  1.03062e+09     -100.841
  1.03094e+09     -99.7651
  1.03125e+09     -102.439
  1.03156e+09     -103.885
  1.03188e+09     -108.768
  1.03219e+09     -102.827
   1.0325e+09     -109.655
  1.03281e+09     -114.012
  1.03312e+09     -115.134
  1.03344e+09     -103.412
  1.03375e+09     -103.436
  1.03406e+09     -103.784
  1.03438e+09     -121.622
  1.03469e+09     -108.736
    1.035e+09     -103.184
  1.03531e+09     -104.731
  1.03562e+09     -115.549
  1.03594e+09      -108.59
  1.03625e+09     -111.151
  1.03656e+09     -109.949
  1.03688e+09     -110.017
  1.03719e+09       -101.6
   1.0375e+09     -105.362
  1.03781e+09     -116.517
  1.03812e+09     -110.475
  1.03844e+09     -106.514
  1.03875e+09     -101.066
  1.03906e+09      -116.73
  1.03938e+09     -105.012
  1.03969e+09     -112.818
     1.04e+09     -112.108
  1.04031e+09      -120.01
  1.04062e+09     -111.614
  1.04094e+09     -101.422
  1.04125e+09     -113.761
  1.04156e+09      -110.22
  1.04188e+09     -105.965
  1.04219e+09     -110.706
   1.0425e+09     -96.8314
  1.04281e+09       -88.33
  1.04312e+09     -101.293
  1.04344e+09     -108.057
  1.04375e+09     -125.039
