#
# AEG Box Test Suite by I. D. Flintoft, L. Dawson, J. F. Dawson and A. C. Marvin is 
# licensed under a Creative Commons Attribution 4.0 International License.
# Based on a work at https://bitbucket.org/uoyaeg/aegboxts.
#
# If you use or make derivatives of the test suite please attribute the original
# work to I. D. Flintoft, L. Dawson, J. F. Dawson and A. C. Marvin, Applied
# Electromagnetics Group, Department of Electronics, University of York, UK.
#
#     f (MHz)   A (dB m^2) 
  1.06281e+09     -38.3924
  1.06312e+09     -38.3141
  1.06344e+09      -38.239
  1.06375e+09     -38.1822
  1.06406e+09     -38.1158
  1.06438e+09     -38.0851
  1.06469e+09     -38.0464
    1.065e+09     -37.9894
  1.06531e+09     -37.9791
  1.06562e+09     -37.9536
  1.06594e+09     -37.9649
  1.06625e+09     -37.9695
  1.06656e+09     -37.9901
  1.06688e+09     -37.9842
  1.06719e+09     -37.9962
   1.0675e+09     -38.0162
  1.06781e+09     -38.0481
  1.06812e+09     -38.0765
  1.06844e+09     -38.1152
  1.06875e+09     -38.1547
  1.06906e+09     -38.1862
  1.06938e+09     -38.2425
  1.06969e+09     -38.2937
     1.07e+09     -38.3319
  1.07031e+09     -38.3864
  1.07062e+09     -38.4261
  1.07094e+09     -38.4852
  1.07125e+09     -38.5146
  1.07156e+09      -38.587
  1.07188e+09     -38.6247
  1.07219e+09     -38.6953
   1.0725e+09     -38.7388
  1.07281e+09     -38.7824
  1.07312e+09     -38.8956
  1.07344e+09     -38.9241
  1.07375e+09     -38.9965
  1.07406e+09     -39.0326
  1.07438e+09     -39.0681
  1.07469e+09     -39.1063
    1.075e+09     -39.1385
  1.07531e+09     -39.1582
  1.07562e+09     -39.1846
  1.07594e+09     -39.1885
  1.07625e+09     -39.1988
  1.07656e+09     -39.2127
  1.07688e+09     -39.1957
  1.07719e+09     -39.1824
   1.0775e+09     -39.1834
  1.07781e+09     -39.1454
  1.07812e+09     -39.0888
  1.07844e+09     -39.0534
  1.07875e+09     -39.0027
  1.07906e+09     -38.9505
  1.07938e+09     -38.9016
  1.07969e+09     -38.8414
     1.08e+09     -38.7631
  1.08031e+09      -38.684
  1.08062e+09      -38.609
  1.08094e+09     -38.5192
  1.08125e+09     -38.4606
  1.08156e+09     -38.3741
  1.08188e+09     -38.2997
  1.08219e+09     -38.2261
   1.0825e+09     -38.1249
  1.08281e+09     -38.0761
  1.08312e+09     -37.9802
  1.08344e+09     -37.9086
  1.08375e+09     -37.8435
  1.08406e+09     -37.7802
  1.08438e+09     -37.6936
  1.08469e+09     -37.6646
    1.085e+09     -37.5971
  1.08531e+09     -37.5163
  1.08562e+09     -37.4839
  1.08594e+09     -37.4285
  1.08625e+09     -37.3941
  1.08656e+09     -37.3277
  1.08688e+09     -37.2816
  1.08719e+09     -37.2456
   1.0875e+09      -37.202
  1.08781e+09     -37.1563
  1.08812e+09     -37.1175
  1.08844e+09     -37.0724
  1.08875e+09     -37.0329
  1.08906e+09     -37.0083
  1.08938e+09     -36.9628
  1.08969e+09     -36.9166
     1.09e+09     -36.8962
  1.09031e+09     -36.8481
  1.09062e+09      -36.815
  1.09094e+09     -36.7828
  1.09125e+09     -36.7423
  1.09156e+09        -36.7
  1.09188e+09      -36.673
  1.09219e+09     -36.6353
   1.0925e+09     -36.5969
  1.09281e+09     -36.5522
  1.09312e+09     -36.5393
  1.09344e+09     -36.5142
  1.09375e+09     -36.4918
  1.09406e+09     -36.4625
  1.09438e+09     -36.4489
  1.09469e+09     -36.4214
    1.095e+09     -36.4124
  1.09531e+09     -36.3956
  1.09562e+09     -36.3584
  1.09594e+09     -36.3601
  1.09625e+09     -36.3443
  1.09656e+09     -36.3538
  1.09688e+09     -36.3535
  1.09719e+09     -36.3572
   1.0975e+09     -36.3667
  1.09781e+09     -36.3737
  1.09812e+09     -36.3926
  1.09844e+09     -36.4088
  1.09875e+09     -36.4263
  1.09906e+09     -36.4593
  1.09938e+09     -36.4753
  1.09969e+09     -36.5205
      1.1e+09     -36.5396
  1.10031e+09     -36.5936
  1.10062e+09     -36.6157
  1.10094e+09      -36.648
  1.10125e+09     -36.6931
  1.10156e+09     -36.7463
  1.10188e+09     -36.7701
  1.10219e+09       -36.82
   1.1025e+09     -36.8488
  1.10281e+09     -36.8681
  1.10312e+09     -36.9325
  1.10344e+09     -36.9513
  1.10375e+09     -36.9839
  1.10406e+09     -37.0309
  1.10438e+09     -37.0613
  1.10469e+09      -37.092
    1.105e+09     -37.1312
  1.10531e+09     -37.1547
  1.10562e+09     -37.1706
  1.10594e+09     -37.2233
  1.10625e+09      -37.238
  1.10656e+09      -37.258
  1.10688e+09     -37.2864
  1.10719e+09     -37.3006
   1.1075e+09     -37.3284
  1.10781e+09     -37.3453
  1.10812e+09     -37.3907
  1.10844e+09     -37.4213
  1.10875e+09     -37.4525
  1.10906e+09     -37.4744
  1.10938e+09      -37.525
  1.10969e+09     -37.5615
     1.11e+09     -37.6194
  1.11031e+09     -37.6752
  1.11062e+09     -37.7144
  1.11094e+09     -37.7547
  1.11125e+09     -37.8318
  1.11156e+09     -37.8723
  1.11188e+09     -37.9364
  1.11219e+09     -37.9742
   1.1125e+09     -38.0691
  1.11281e+09     -38.1395
  1.11312e+09     -38.1992
  1.11344e+09     -38.2534
  1.11375e+09      -38.343
  1.11406e+09     -38.3981
  1.11438e+09     -38.4334
  1.11469e+09     -38.5183
    1.115e+09     -38.5687
  1.11531e+09      -38.624
  1.11562e+09     -38.6858
  1.11594e+09     -38.7314
  1.11625e+09     -38.7604
  1.11656e+09      -38.811
  1.11688e+09     -38.8384
  1.11719e+09     -38.8712
   1.1175e+09     -38.8892
  1.11781e+09     -38.9449
  1.11812e+09     -38.9546
  1.11844e+09     -38.9925
