#
# This work is licensed under the Creative Commons 
# Attribution-NoDerivatives 4.0 International License. 
# To view a copy of this license, visit 
# http://creativecommons.org/licenses/by-nd/4.0/.
#
#     f (MHz)   A (dB m^2) 
        1e+09     -106.973
  1.00031e+09     -105.425
  1.00062e+09     -107.474
  1.00094e+09     -101.227
  1.00125e+09     -106.829
  1.00156e+09     -102.245
  1.00188e+09     -104.584
  1.00219e+09     -102.985
   1.0025e+09      -102.27
  1.00281e+09     -112.134
  1.00312e+09     -106.542
  1.00344e+09     -100.297
  1.00375e+09     -107.402
  1.00406e+09     -102.778
  1.00438e+09     -102.809
  1.00469e+09     -100.218
    1.005e+09     -106.622
  1.00531e+09     -110.806
  1.00562e+09     -115.818
  1.00594e+09     -114.401
  1.00625e+09     -124.779
  1.00656e+09     -113.371
  1.00688e+09     -112.406
  1.00719e+09     -119.355
   1.0075e+09     -121.395
  1.00781e+09     -111.971
  1.00812e+09     -122.946
  1.00844e+09     -107.299
  1.00875e+09     -114.442
  1.00906e+09     -102.837
  1.00938e+09      -101.43
  1.00969e+09     -109.319
     1.01e+09     -108.955
  1.01031e+09     -105.763
  1.01062e+09     -101.657
  1.01094e+09     -102.013
  1.01125e+09     -103.589
  1.01156e+09     -100.492
  1.01188e+09     -99.8267
  1.01219e+09     -103.906
   1.0125e+09     -101.284
  1.01281e+09     -103.261
  1.01312e+09      -101.47
  1.01344e+09     -103.251
  1.01375e+09     -107.196
  1.01406e+09     -104.909
  1.01438e+09     -100.387
  1.01469e+09     -106.288
    1.015e+09     -101.425
  1.01531e+09     -100.277
  1.01562e+09     -103.668
  1.01594e+09     -102.218
  1.01625e+09     -110.307
  1.01656e+09     -104.646
  1.01688e+09     -111.018
  1.01719e+09     -115.522
   1.0175e+09      -103.91
  1.01781e+09     -107.297
  1.01812e+09     -109.466
  1.01844e+09     -101.628
  1.01875e+09     -101.975
  1.01906e+09     -107.186
  1.01938e+09     -108.436
  1.01969e+09     -107.732
     1.02e+09      -112.78
  1.02031e+09     -119.339
  1.02062e+09      -109.27
  1.02094e+09     -107.909
  1.02125e+09      -107.13
  1.02156e+09     -106.624
  1.02188e+09     -100.377
  1.02219e+09     -105.207
   1.0225e+09     -101.319
  1.02281e+09     -101.918
  1.02312e+09     -102.549
  1.02344e+09     -97.0716
  1.02375e+09     -101.607
  1.02406e+09     -101.505
  1.02438e+09     -95.7432
  1.02469e+09     -96.5922
    1.025e+09     -98.3071
  1.02531e+09      -99.744
  1.02562e+09     -95.1594
  1.02594e+09     -98.7452
  1.02625e+09     -97.8813
  1.02656e+09     -96.1569
  1.02688e+09     -96.3604
  1.02719e+09     -94.9108
   1.0275e+09     -94.2483
  1.02781e+09     -92.9204
  1.02812e+09     -91.6513
  1.02844e+09     -90.8593
  1.02875e+09     -89.6497
  1.02906e+09     -87.1125
  1.02938e+09     -86.5003
  1.02969e+09     -86.0874
     1.03e+09     -85.6244
  1.03031e+09     -85.7571
  1.03062e+09     -85.9866
  1.03094e+09     -86.7754
  1.03125e+09     -86.6423
  1.03156e+09     -88.4858
  1.03188e+09     -89.6052
  1.03219e+09      -89.636
   1.0325e+09     -91.1927
  1.03281e+09     -91.2796
  1.03312e+09     -92.0144
  1.03344e+09     -95.6169
  1.03375e+09     -95.3003
  1.03406e+09     -94.1945
  1.03438e+09     -95.7798
  1.03469e+09     -99.4856
    1.035e+09     -100.124
  1.03531e+09     -103.424
  1.03562e+09     -108.408
  1.03594e+09      -104.06
  1.03625e+09     -103.746
  1.03656e+09     -113.095
  1.03688e+09     -113.295
  1.03719e+09     -112.592
   1.0375e+09      -110.52
  1.03781e+09     -114.729
  1.03812e+09     -106.645
  1.03844e+09     -105.081
  1.03875e+09     -111.273
  1.03906e+09     -114.349
  1.03938e+09      -102.17
  1.03969e+09     -122.724
     1.04e+09     -111.295
  1.04031e+09     -113.012
  1.04062e+09     -115.577
  1.04094e+09     -105.416
  1.04125e+09     -114.885
  1.04156e+09     -108.072
  1.04188e+09     -107.686
  1.04219e+09     -108.607
   1.0425e+09     -103.859
  1.04281e+09     -101.993
  1.04312e+09     -104.965
  1.04344e+09     -95.2249
  1.04375e+09     -99.3262
  1.04406e+09     -100.085
  1.04438e+09      -99.864
  1.04469e+09     -96.7359
    1.045e+09     -100.478
  1.04531e+09     -97.2287
  1.04562e+09     -99.1456
  1.04594e+09     -98.3412
  1.04625e+09     -103.862
  1.04656e+09     -94.5144
  1.04688e+09      -97.494
  1.04719e+09     -98.3165
   1.0475e+09      -98.195
  1.04781e+09      -101.08
  1.04812e+09     -98.1417
  1.04844e+09     -100.445
  1.04875e+09     -101.692
  1.04906e+09     -102.708
  1.04938e+09     -102.276
  1.04969e+09     -97.9857
     1.05e+09     -98.7952
  1.05031e+09     -103.487
  1.05062e+09     -105.275
  1.05094e+09     -112.068
  1.05125e+09     -101.845
  1.05156e+09     -108.587
  1.05188e+09      -100.86
  1.05219e+09     -115.908
   1.0525e+09     -100.464
  1.05281e+09     -117.618
  1.05312e+09     -107.464
  1.05344e+09     -99.7022
  1.05375e+09      -103.41
  1.05406e+09     -109.034
  1.05438e+09     -124.474
  1.05469e+09     -103.004
    1.055e+09     -100.829
  1.05531e+09     -105.563
  1.05562e+09     -103.033
  1.05594e+09     -111.753
  1.05625e+09     -112.774
  1.05656e+09     -108.501
  1.05688e+09     -107.507
  1.05719e+09     -112.259
   1.0575e+09     -109.689
  1.05781e+09     -104.945
  1.05812e+09     -101.759
  1.05844e+09     -110.583
  1.05875e+09     -105.352
  1.05906e+09     -108.822
  1.05938e+09     -106.986
  1.05969e+09      -108.54
     1.06e+09     -104.268
  1.06031e+09     -114.468
  1.06062e+09     -108.029
  1.06094e+09      -117.53
  1.06125e+09     -116.279
  1.06156e+09     -111.916
  1.06188e+09     -98.1086
  1.06219e+09     -108.035
   1.0625e+09     -102.003
  1.06281e+09     -101.291
  1.06312e+09     -96.9277
  1.06344e+09     -98.0855
  1.06375e+09     -100.716
  1.06406e+09      -101.78
  1.06438e+09     -99.3456
