#
# This work is licensed under the Creative Commons 
# Attribution-NoDerivatives 4.0 International License. 
# To view a copy of this license, visit 
# http://creativecommons.org/licenses/by-nd/4.0/.
#
#     f (MHz)   A (dB m^2) 
  1.06531e+09     -43.1005
  1.06562e+09      -43.199
  1.06594e+09     -43.2644
  1.06625e+09     -43.3167
  1.06656e+09     -43.3321
  1.06688e+09     -43.3994
  1.06719e+09     -43.4363
   1.0675e+09     -43.5225
  1.06781e+09     -43.5669
  1.06812e+09     -43.5841
  1.06844e+09     -43.6148
  1.06875e+09     -43.6842
  1.06906e+09     -43.7525
  1.06938e+09     -43.7691
  1.06969e+09     -43.8159
     1.07e+09     -43.8602
  1.07031e+09     -43.9436
  1.07062e+09     -43.9807
  1.07094e+09     -44.0557
  1.07125e+09     -44.1674
  1.07156e+09     -44.1703
  1.07188e+09     -44.2468
  1.07219e+09     -44.3426
   1.0725e+09      -44.453
  1.07281e+09     -44.5261
  1.07312e+09     -44.6607
  1.07344e+09     -44.7236
  1.07375e+09     -44.8392
  1.07406e+09     -44.9686
  1.07438e+09     -45.0565
  1.07469e+09     -45.1481
    1.075e+09     -45.2913
  1.07531e+09      -45.398
  1.07562e+09     -45.4583
  1.07594e+09     -45.6084
  1.07625e+09     -45.6894
  1.07656e+09     -45.8273
  1.07688e+09     -45.9309
  1.07719e+09     -46.0803
   1.0775e+09     -46.1852
  1.07781e+09     -46.2815
  1.07812e+09     -46.3826
  1.07844e+09     -46.5547
  1.07875e+09     -46.6514
  1.07906e+09     -46.8253
  1.07938e+09     -46.8997
  1.07969e+09     -47.0164
     1.08e+09     -47.1525
  1.08031e+09     -47.2781
  1.08062e+09     -47.3855
  1.08094e+09     -47.5596
  1.08125e+09     -47.6589
  1.08156e+09     -47.9122
  1.08188e+09     -48.0099
  1.08219e+09     -48.2254
   1.0825e+09     -48.4028
  1.08281e+09     -48.5616
  1.08312e+09        -48.8
  1.08344e+09     -49.0649
  1.08375e+09     -49.3029
  1.08406e+09     -49.4913
  1.08438e+09     -49.7846
  1.08469e+09     -50.0366
    1.085e+09     -50.3789
  1.08531e+09     -50.6973
  1.08562e+09     -50.9733
  1.08594e+09     -51.4678
  1.08625e+09     -51.7641
  1.08656e+09      -52.212
  1.08688e+09     -52.6093
  1.08719e+09     -53.0916
   1.0875e+09     -53.6469
  1.08781e+09     -54.1502
  1.08812e+09     -54.5904
  1.08844e+09     -55.3395
  1.08875e+09     -56.0337
  1.08906e+09     -56.9102
  1.08938e+09     -57.4822
  1.08969e+09     -58.2264
     1.09e+09     -59.1278
  1.09031e+09     -60.1477
  1.09062e+09     -60.8734
  1.09094e+09     -61.9827
  1.09125e+09     -62.3769
  1.09156e+09     -63.0203
  1.09188e+09     -62.5112
  1.09219e+09      -61.778
   1.0925e+09     -60.6544
  1.09281e+09     -59.7622
  1.09312e+09     -58.6924
  1.09344e+09      -57.875
  1.09375e+09     -56.5436
  1.09406e+09     -55.7942
  1.09438e+09     -54.9188
  1.09469e+09     -54.0675
    1.095e+09     -53.1678
  1.09531e+09      -52.592
  1.09562e+09     -51.9462
  1.09594e+09      -51.333
  1.09625e+09     -50.7561
  1.09656e+09      -50.253
  1.09688e+09     -49.7488
  1.09719e+09     -49.2454
   1.0975e+09     -48.8135
  1.09781e+09     -48.4839
  1.09812e+09     -48.0837
  1.09844e+09     -47.7552
  1.09875e+09     -47.4903
  1.09906e+09     -47.2347
  1.09938e+09      -46.938
  1.09969e+09     -46.7617
      1.1e+09     -46.6245
  1.10031e+09     -46.3937
  1.10062e+09      -46.227
  1.10094e+09      -46.084
  1.10125e+09     -46.0086
  1.10156e+09     -45.8598
  1.10188e+09     -45.7984
  1.10219e+09     -45.7229
   1.1025e+09     -45.6821
  1.10281e+09     -45.5956
  1.10312e+09      -45.565
  1.10344e+09     -45.5492
  1.10375e+09     -45.5099
  1.10406e+09     -45.5065
  1.10438e+09     -45.4961
  1.10469e+09     -45.5265
    1.105e+09     -45.5157
  1.10531e+09     -45.5282
  1.10562e+09     -45.5123
  1.10594e+09     -45.5241
  1.10625e+09     -45.5566
  1.10656e+09     -45.5746
  1.10688e+09     -45.5739
  1.10719e+09     -45.5975
   1.1075e+09     -45.6504
  1.10781e+09     -45.6533
  1.10812e+09     -45.6942
  1.10844e+09     -45.7391
  1.10875e+09     -45.7444
  1.10906e+09     -45.8238
  1.10938e+09     -45.9217
  1.10969e+09     -45.9707
     1.11e+09     -46.0069
  1.11031e+09     -46.0691
  1.11062e+09     -46.1297
  1.11094e+09     -46.1563
  1.11125e+09     -46.2685
  1.11156e+09     -46.3568
  1.11188e+09     -46.4234
  1.11219e+09     -46.5308
   1.1125e+09      -46.554
  1.11281e+09     -46.6697
  1.11312e+09     -46.7687
  1.11344e+09     -46.8579
  1.11375e+09     -46.9364
  1.11406e+09     -47.0355
  1.11438e+09     -47.0792
  1.11469e+09     -47.1542
    1.115e+09     -47.2843
  1.11531e+09     -47.3751
  1.11562e+09     -47.4117
  1.11594e+09     -47.5397
  1.11625e+09     -47.5272
  1.11656e+09     -47.6736
  1.11688e+09     -47.7433
  1.11719e+09     -47.7921
   1.1175e+09     -47.9058
  1.11781e+09     -47.8962
  1.11812e+09     -48.0474
  1.11844e+09      -48.077
  1.11875e+09     -48.1556
  1.11906e+09      -48.285
  1.11938e+09     -48.3436
  1.11969e+09     -48.4529
     1.12e+09     -48.4867
  1.12031e+09     -48.6296
  1.12062e+09     -48.6914
  1.12094e+09     -48.9283
  1.12125e+09     -48.8891
  1.12156e+09      -49.075
  1.12188e+09     -49.1551
