#
# AEG Box Test Suite by I. D. Flintoft, L. Dawson, J. F. Dawson and A. C. Marvin is 
# licensed under a Creative Commons Attribution 4.0 International License.
# Based on a work at https://bitbucket.org/uoyaeg/aegboxts.
#
# If you use or make derivatives of the test suite please attribute the original
# work to I. D. Flintoft, L. Dawson, J. F. Dawson and A. C. Marvin, Applied
# Electromagnetics Group, Department of Electronics, University of York, UK.
#
#     f (MHz)   A (dB m^2) 
        1e+09      -36.846
  1.00031e+09     -36.8715
  1.00062e+09     -36.8991
  1.00094e+09     -36.9163
  1.00125e+09     -36.9412
  1.00156e+09     -36.9509
  1.00188e+09     -36.9857
  1.00219e+09      -36.998
   1.0025e+09     -36.9955
  1.00281e+09     -37.0167
  1.00312e+09     -37.0266
  1.00344e+09     -37.0697
  1.00375e+09     -37.0901
  1.00406e+09     -37.1201
  1.00438e+09      -37.133
  1.00469e+09     -37.1553
    1.005e+09     -37.1623
  1.00531e+09     -37.1803
  1.00562e+09     -37.2171
  1.00594e+09     -37.2292
  1.00625e+09      -37.263
  1.00656e+09     -37.2682
  1.00688e+09     -37.3006
  1.00719e+09     -37.3385
   1.0075e+09      -37.351
  1.00781e+09     -37.3823
  1.00812e+09       -37.41
  1.00844e+09     -37.4211
  1.00875e+09     -37.4277
  1.00906e+09     -37.4798
  1.00938e+09     -37.4815
  1.00969e+09     -37.5172
     1.01e+09     -37.5397
  1.01031e+09     -37.5399
  1.01062e+09     -37.5657
  1.01094e+09     -37.6025
  1.01125e+09     -37.5999
  1.01156e+09     -37.6529
  1.01188e+09     -37.6568
  1.01219e+09     -37.6891
   1.0125e+09     -37.7007
  1.01281e+09       -37.72
  1.01312e+09     -37.7379
  1.01344e+09     -37.7678
  1.01375e+09     -37.7849
  1.01406e+09     -37.8194
  1.01438e+09     -37.8547
  1.01469e+09     -37.8673
    1.015e+09     -37.8865
  1.01531e+09     -37.9141
  1.01562e+09     -37.9521
  1.01594e+09     -37.9805
  1.01625e+09     -37.9974
  1.01656e+09      -38.031
  1.01688e+09     -38.0634
  1.01719e+09     -38.0823
   1.0175e+09     -38.1139
  1.01781e+09     -38.1259
  1.01812e+09     -38.1599
  1.01844e+09     -38.1616
  1.01875e+09     -38.1938
  1.01906e+09     -38.1953
  1.01938e+09     -38.2379
  1.01969e+09     -38.2573
     1.02e+09     -38.2639
  1.02031e+09     -38.2931
  1.02062e+09     -38.2886
  1.02094e+09     -38.3059
  1.02125e+09     -38.3157
  1.02156e+09     -38.3075
  1.02188e+09     -38.3344
  1.02219e+09     -38.3144
   1.0225e+09     -38.3042
  1.02281e+09     -38.3343
  1.02312e+09     -38.3204
  1.02344e+09     -38.2751
  1.02375e+09     -38.2969
  1.02406e+09     -38.2599
  1.02438e+09     -38.2648
  1.02469e+09     -38.2127
    1.025e+09     -38.1825
  1.02531e+09     -38.1248
  1.02562e+09     -38.0654
  1.02594e+09     -37.9926
  1.02625e+09     -37.9186
