#
# AEG Box Test Suite by I. D. Flintoft, L. Dawson, J. F. Dawson and A. C. Marvin is 
# licensed under a Creative Commons Attribution 4.0 International License.
# Based on a work at https://bitbucket.org/uoyaeg/aegboxts.
#
# If you use or make derivatives of the test suite please attribute the original
# work to I. D. Flintoft, L. Dawson, J. F. Dawson and A. C. Marvin, Applied
# Electromagnetics Group, Department of Electronics, University of York, UK.
#
#     f (MHz)   A (dB m^2) 
        1e+09     -15.0245
  1.00031e+09     -15.0394
  1.00062e+09     -15.0674
  1.00094e+09     -15.0876
  1.00125e+09     -15.1169
  1.00156e+09     -15.1354
  1.00188e+09     -15.1671
  1.00219e+09     -15.1875
   1.0025e+09     -15.2074
  1.00281e+09     -15.2323
  1.00312e+09     -15.2585
  1.00344e+09     -15.2793
  1.00375e+09     -15.3027
  1.00406e+09     -15.3175
  1.00438e+09     -15.3331
  1.00469e+09     -15.3536
    1.005e+09     -15.3707
  1.00531e+09      -15.387
  1.00562e+09     -15.3991
  1.00594e+09     -15.4029
  1.00625e+09     -15.4206
  1.00656e+09     -15.4253
  1.00688e+09     -15.4412
  1.00719e+09     -15.4506
   1.0075e+09     -15.4568
  1.00781e+09     -15.4709
  1.00812e+09      -15.476
  1.00844e+09     -15.4791
  1.00875e+09     -15.4891
  1.00906e+09     -15.4933
  1.00938e+09     -15.5107
  1.00969e+09     -15.5216
     1.01e+09     -15.5302
  1.01031e+09     -15.5335
  1.01062e+09     -15.5548
  1.01094e+09     -15.5698
  1.01125e+09     -15.5709
  1.01156e+09     -15.5939
  1.01188e+09     -15.6041
  1.01219e+09     -15.6188
   1.0125e+09     -15.6261
  1.01281e+09       -15.64
  1.01312e+09     -15.6537
  1.01344e+09     -15.6658
  1.01375e+09     -15.6711
  1.01406e+09     -15.6846
  1.01438e+09     -15.6889
  1.01469e+09     -15.7013
    1.015e+09     -15.7145
  1.01531e+09     -15.7221
  1.01562e+09     -15.7255
  1.01594e+09     -15.7311
  1.01625e+09     -15.7482
  1.01656e+09     -15.7494
  1.01688e+09     -15.7671
  1.01719e+09     -15.7734
   1.0175e+09     -15.7889
  1.01781e+09      -15.802
  1.01812e+09     -15.8169
  1.01844e+09     -15.8282
  1.01875e+09     -15.8419
  1.01906e+09     -15.8664
  1.01938e+09     -15.8713
  1.01969e+09     -15.9106
     1.02e+09      -15.911
  1.02031e+09      -15.929
  1.02062e+09     -15.9598
  1.02094e+09     -15.9756
  1.02125e+09     -15.9823
  1.02156e+09      -16.007
  1.02188e+09     -16.0299
  1.02219e+09       -16.05
   1.0225e+09     -16.0685
  1.02281e+09     -16.0705
  1.02312e+09     -16.0854
  1.02344e+09     -16.0956
  1.02375e+09     -16.1032
  1.02406e+09     -16.1118
  1.02438e+09     -16.1064
  1.02469e+09     -16.1069
    1.025e+09     -16.0982
  1.02531e+09     -16.0923
  1.02562e+09     -16.0818
  1.02594e+09      -16.071
  1.02625e+09     -16.0507
  1.02656e+09     -16.0279
  1.02688e+09      -16.004
  1.02719e+09     -15.9787
   1.0275e+09     -15.9573
  1.02781e+09     -15.9165
  1.02812e+09     -15.8839
  1.02844e+09      -15.846
  1.02875e+09     -15.8199
  1.02906e+09     -15.7807
  1.02938e+09     -15.7468
  1.02969e+09     -15.7327
     1.03e+09     -15.7111
  1.03031e+09     -15.7087
  1.03062e+09     -15.7261
  1.03094e+09     -15.7506
  1.03125e+09     -15.8443
  1.03156e+09     -16.0277
  1.03188e+09     -16.3735
  1.03219e+09      -17.016
   1.0325e+09     -17.9316
  1.03281e+09     -18.4028
  1.03312e+09     -17.9962
  1.03344e+09     -17.3949
  1.03375e+09     -16.9542
  1.03406e+09     -16.6724
  1.03438e+09     -16.4922
  1.03469e+09     -16.3863
    1.035e+09     -16.3173
  1.03531e+09     -16.2715
  1.03562e+09     -16.2391
  1.03594e+09     -16.2178
  1.03625e+09     -16.2036
  1.03656e+09     -16.1996
  1.03688e+09     -16.2049
  1.03719e+09     -16.1852
   1.0375e+09      -16.185
  1.03781e+09     -16.1949
  1.03812e+09     -16.1975
  1.03844e+09      -16.196
  1.03875e+09     -16.2043
  1.03906e+09     -16.2117
  1.03938e+09     -16.2204
  1.03969e+09     -16.2324
     1.04e+09     -16.2394
  1.04031e+09     -16.2443
  1.04062e+09     -16.2581
  1.04094e+09       -16.29
  1.04125e+09     -16.2934
  1.04156e+09     -16.3129
  1.04188e+09     -16.3358
  1.04219e+09     -16.3479
   1.0425e+09     -16.3641
  1.04281e+09     -16.3791
  1.04312e+09     -16.3867
  1.04344e+09      -16.394
  1.04375e+09     -16.3999
  1.04406e+09     -16.4097
  1.04438e+09     -16.3963
  1.04469e+09     -16.3962
    1.045e+09     -16.3808
  1.04531e+09     -16.3749
  1.04562e+09     -16.3589
  1.04594e+09     -16.3384
  1.04625e+09     -16.3216
  1.04656e+09     -16.2919
  1.04688e+09     -16.2717
  1.04719e+09     -16.2416
   1.0475e+09     -16.2091
  1.04781e+09     -16.1848
  1.04812e+09      -16.146
  1.04844e+09       -16.12
  1.04875e+09     -16.0748
  1.04906e+09     -16.0614
  1.04938e+09     -16.0386
  1.04969e+09     -16.0072
     1.05e+09     -15.9949
  1.05031e+09     -15.9935
  1.05062e+09     -15.9859
  1.05094e+09     -15.9923
  1.05125e+09     -15.9977
  1.05156e+09     -16.0033
