#
# This work is licensed under the Creative Commons 
# Attribution-NoDerivatives 4.0 International License. 
# To view a copy of this license, visit 
# http://creativecommons.org/licenses/by-nd/4.0/.
#
#       f(Hz)      Re(Z11)      Im(Z11)      Re(Z12)      Im(Z12)      Re(Z21)      Im(Z21)      Re(Z22)      Im(Z22) 
  3.23773e+09     0.472096    -0.327924  -0.00361178      0.65082  -0.00361178      0.65082     0.472096    -0.327924
  3.29769e+09     0.472096    -0.333686  -0.00390227     0.663551  -0.00390227     0.663551     0.472096    -0.333686
  3.35765e+09     0.472096    -0.339422  -0.00422502     0.676299  -0.00422502     0.676299     0.472096    -0.339422
  3.41761e+09     0.472096    -0.344406  -0.00458516     0.689055  -0.00458516     0.689055     0.472096    -0.344406
  3.47756e+09     0.472096    -0.349236  -0.00498311     0.701826  -0.00498311     0.701826     0.472096    -0.349236
  3.53752e+09     0.472096    -0.354803  -0.00541743     0.714613  -0.00541743     0.714613     0.472096    -0.354803
  3.59748e+09     0.472096    -0.359982  -0.00589102     0.727412  -0.00589102     0.727412     0.472096    -0.359982
  3.65744e+09     0.472096    -0.365315  -0.00639674     0.740221  -0.00639674     0.740221     0.472096    -0.365315
   3.7174e+09     0.472096    -0.370863  -0.00694056     0.753037  -0.00694056     0.753037     0.472096    -0.370863
  3.77735e+09     0.472097    -0.375712   -0.0075152     0.765862   -0.0075152     0.765862     0.472097    -0.375712
  3.83731e+09     0.472097    -0.381026  -0.00812931     0.778692  -0.00812931     0.778692     0.472097    -0.381026
  3.89727e+09     0.472097     -0.38646  -0.00878255     0.791526  -0.00878255     0.791526     0.472097     -0.38646
  3.95723e+09     0.472097    -0.391699  -0.00947036     0.804364  -0.00947036     0.804364     0.472097    -0.391699
  4.01719e+09     0.472097    -0.397205    -0.010193     0.817205    -0.010193     0.817205     0.472097    -0.397205
  4.07714e+09     0.472097    -0.401798   -0.0109562     0.830043   -0.0109562     0.830043     0.472097    -0.401798
   4.1371e+09     0.472098    -0.407188   -0.0117525     0.842886   -0.0117525     0.842886     0.472098    -0.407188
  4.19706e+09     0.472098    -0.412537   -0.0125874     0.855727   -0.0125874     0.855727     0.472098    -0.412537
  4.25702e+09     0.472098    -0.417966   -0.0134508     0.868564   -0.0134508     0.868564     0.472098    -0.417966
  4.31698e+09     0.472098    -0.423337   -0.0143589     0.881399   -0.0143589     0.881399     0.472098    -0.423337
  4.37693e+09     0.472098    -0.428006   -0.0152891     0.894228   -0.0152891     0.894228     0.472098    -0.428006
  4.43689e+09     0.472099    -0.432711   -0.0162559      0.90705   -0.0162559      0.90705     0.472099    -0.432711
  4.49685e+09     0.472099     -0.43842   -0.0172613     0.919868   -0.0172613     0.919868     0.472099     -0.43842
  4.55681e+09     0.472099    -0.445067   -0.0182834     0.932669   -0.0182834     0.932669     0.472099    -0.445067
  4.61677e+09       0.4721    -0.450897   -0.0193475     0.945469   -0.0193475     0.945469       0.4721    -0.450897
  4.67672e+09       0.4721    -0.453275   -0.0204474     0.958256   -0.0204474     0.958256       0.4721    -0.453275
  4.73668e+09       0.4721    -0.459127   -0.0215721     0.971029   -0.0215721     0.971029       0.4721    -0.459127
  4.79664e+09     0.472101    -0.464924   -0.0227193     0.983795   -0.0227193     0.983795     0.472101    -0.464924
   4.8566e+09     0.472101    -0.471496   -0.0239019     0.996544   -0.0239019     0.996544     0.472101    -0.471496
  4.91656e+09     0.472102    -0.477347   -0.0251109      1.00928   -0.0251109      1.00928     0.472102    -0.477347
  4.97651e+09     0.472102    -0.479314   -0.0263416        1.022   -0.0263416        1.022     0.472102    -0.479314
  5.03647e+09     0.472102     -0.48612   -0.0275902      1.03471   -0.0275902      1.03471     0.472102     -0.48612
  5.09643e+09     0.472103    -0.491724   -0.0288678      1.04741   -0.0288678      1.04741     0.472103    -0.491724
  5.15639e+09     0.472103    -0.497844   -0.0301648      1.06009   -0.0301648      1.06009     0.472103    -0.497844
  5.21635e+09     0.472104    -0.504118   -0.0314832      1.07275   -0.0314832      1.07275     0.472104    -0.504118
   5.2763e+09     0.472105    -0.506453   -0.0328233      1.08539   -0.0328233      1.08539     0.472105    -0.506453
  5.33626e+09     0.472105    -0.512526   -0.0341871      1.09802   -0.0341871      1.09802     0.472105    -0.512526
  5.39622e+09     0.472106    -0.518974   -0.0355515      1.11063   -0.0355515      1.11063     0.472106    -0.518974
  5.45618e+09     0.472107    -0.524957   -0.0369399      1.12322   -0.0369399      1.12322     0.472107    -0.524957
  5.51614e+09     0.472107    -0.531776    -0.038345       1.1358    -0.038345       1.1358     0.472107    -0.531776
  5.57609e+09     0.472108    -0.534358   -0.0397529      1.14836   -0.0397529      1.14836     0.472108    -0.534358
  5.63605e+09     0.472109    -0.540103   -0.0411868      1.16089   -0.0411868      1.16089     0.472109    -0.540103
  5.69601e+09     0.472109     -0.54677   -0.0426154      1.17341   -0.0426154      1.17341     0.472109     -0.54677
  5.75597e+09      0.47211    -0.553318   -0.0440651      1.18591   -0.0440651      1.18591      0.47211    -0.553318
  5.81593e+09     0.472111    -0.559055   -0.0455195      1.19839   -0.0455195      1.19839     0.472111    -0.559055
