#
# AEG Box Test Suite by I. D. Flintoft, L. Dawson, J. F. Dawson and A. C. Marvin is 
# licensed under a Creative Commons Attribution 4.0 International License.
# Based on a work at https://bitbucket.org/uoyaeg/aegboxts.
#
# If you use or make derivatives of the test suite please attribute the original
# work to I. D. Flintoft, L. Dawson, J. F. Dawson and A. C. Marvin, Applied
# Electromagnetics Group, Department of Electronics, University of York, UK.
#
#       f(Hz)      Re(S11)      Im(S11)      Re(S12)      Im(S12)      Re(S21)      Im(S21)      Re(S22)      Im(S22) 
  2.69811e+09    -0.997492  -0.00147613 -1.71136e-05    0.0028444 -1.71136e-05    0.0028444    -0.997492  -0.00147613
  2.75807e+09    -0.997491  -0.00150878 -1.73625e-05   0.00291082 -1.73625e-05   0.00291082    -0.997491  -0.00150878
  2.81803e+09    -0.997491  -0.00153811 -1.77507e-05   0.00297736 -1.77507e-05   0.00297736    -0.997491  -0.00153811
  2.87798e+09    -0.997491  -0.00156486 -1.82978e-05   0.00304403 -1.82978e-05   0.00304403    -0.997491  -0.00156486
  2.93794e+09    -0.997491   -0.0015912 -1.90105e-05   0.00311081 -1.90105e-05   0.00311081    -0.997491   -0.0015912
   2.9979e+09     -0.99749   -0.0016227 -1.98871e-05   0.00317773 -1.98871e-05   0.00317773     -0.99749   -0.0016227
  3.05786e+09     -0.99749  -0.00165377 -2.09483e-05   0.00324474 -2.09483e-05   0.00324474     -0.99749  -0.00165377
  3.11782e+09     -0.99749  -0.00168182 -2.21466e-05   0.00331187 -2.21466e-05   0.00331187     -0.99749  -0.00168182
  3.17777e+09     -0.99749    -0.001706 -2.35347e-05   0.00337907 -2.35347e-05   0.00337907     -0.99749    -0.001706
  3.23773e+09    -0.997489  -0.00173645 -2.51185e-05    0.0034464 -2.51185e-05    0.0034464    -0.997489  -0.00173645
  3.29769e+09    -0.997489  -0.00176696 -2.68814e-05   0.00351381 -2.68814e-05   0.00351381    -0.997489  -0.00176696
  3.35765e+09    -0.997489  -0.00179733 -2.88188e-05   0.00358132 -2.88188e-05   0.00358132    -0.997489  -0.00179733
  3.41761e+09    -0.997489  -0.00182371 -3.09439e-05   0.00364887 -3.09439e-05   0.00364887    -0.997489  -0.00182371
  3.47756e+09    -0.997488  -0.00184928 -3.32699e-05   0.00371649 -3.32699e-05   0.00371649    -0.997488  -0.00184928
  3.53752e+09    -0.997488  -0.00187875  -3.5807e-05    0.0037842  -3.5807e-05    0.0037842    -0.997488  -0.00187875
  3.59748e+09    -0.997488  -0.00190616 -3.85481e-05   0.00385196 -3.85481e-05   0.00385196    -0.997488  -0.00190616
  3.65744e+09    -0.997487  -0.00193439 -4.14665e-05   0.00391979 -4.14665e-05   0.00391979    -0.997487  -0.00193439
